Continent,Year,Export Value
Europe,2005,171066.7
Asia,2005,602922.2
Africa,2005,143.9
America,2005,275469.6
Australia,2005,14280.8
Europe,2006,164647.3
Asia,2006,1086352.1
Africa,2006,98.5
America,2006,290454.3
Australia,2006,412.2
Europe,2007,185877.5
Asia,2007,1480603.4
Africa,2007,562.9
America,2007,279187.3
Australia,2007,1241.0
Europe,2008,528498.0
Asia,2008,1706752.5
Africa,2008,1127.0
America,2008,297301.7
Australia,2008,787.2
Europe,2009,297395.9
Asia,2009,1424390.2
Africa,2009,232.3
America,2009,162520.0
Australia,2009,846.7
Europe,2010,217368.4
Asia,2010,2540388.9
Africa,2010,479.2
America,2010,149926.2
Australia,2010,339.4
Europe,2011,212104.3
Asia,2011,4505962.7
Africa,2011,485.0
America,2011,98493.4
Australia,2011,450.8
Europe,2012,156963.4
Asia,2012,4103086.8
Africa,2012,1999.7
America,2012,121980.5
Australia,2012,638.8
Europe,2013,358152.7
Asia,2013,3758734.4
Africa,2013,2737.8
America,2013,141139.2
Australia,2013,8291.7
Europe,2014,593630.8
Asia,2014,5161935.1
Africa,2014,1048.5
America,2014,16549.0
Australia,2014,1167.5
Europe,2015,590270.4
Asia,2015,4055481.1
Africa,2015,26.0
America,2015,20415.7
Australia,2015,3087.3
Europe,2016,932513.1
Asia,2016,3967133.7
Africa,2016,1053.8
America,2016,14361.9
Australia,2016,1263.9
Europe,2017,796143.1
Asia,2017,5389399.2
Africa,2017,567.8
America,2017,11000.7
Australia,2017,3482.1
Europe,2018,340463.7
Asia,2018,6659284.5
Africa,2018,303.8
America,2018,10407.3
Australia,2018,1298.4
Europe,2019,506610.3
Asia,2019,7043952.3
Africa,2019,1680.3
America,2019,27725.2
Australia,2019,39664.8
Europe,2020,1865905.8
Asia,2020,5695341.1
Africa,2020,2077.0
America,2020,11506.0
Australia,2020,1481.0
Europe,2021,1058666.3
Asia,2021,8148223.2
Africa,2021,1706.5
America,2021,31816.9
Australia,2021,710.1
Europe,2022,1275817.5
Asia,2022,11247671.1
Africa,2022,2736.8
America,2022,11326.0
Australia,2022,1037.6
Europe,2023,925348.4
Asia,2023,14187622.4
Africa,2023,19470.0
America,2023,50616.5
Australia,2023,3840.2
